order_id,customer_id,product_id,quantity,price,order_date
2001,106,205,2,45.87,2025-03-15
2002,110,208,4,92.34,2025-03-18
2003,107,201,1,58.12,2025-01-08
2004,113,214,3,156.78,2025-02-14
2005,105,206,5,28.45,2025-02-22
2006,119,211,2,189.23,2025-03-05
2007,111,203,1,312.56,2025-01-30
2008,116,207,4,98.67,2025-02-19
2009,102,212,3,67.89,2025-03-12
2010,114,209,2,278.34,2025-01-12
2011,108,202,5,41.23,2025-02-28
2012,117,215,1,145.67,2025-03-08
2013,103,204,3,223.45,2025-01-22
2014,120,210,2,167.89,2025-02-07
2015,109,213,4,256.12,2025-03-20
2016,101,208,1,84.56,2025-02-15
2017,115,205,3,52.34,2025-01-05
2018,107,211,2,198.76,2025-03-01
2019,112,206,5,35.67,2025-02-24
2020,118,214,1,128.90,2025-03-16
