purchase_id,supplier_id,product_id,product_name,quantity,price_per_unit,total_amount,purchase_date
1,SUP-004,1004,Воздушный фильтр,32,933.7,29878.33,2025-04-25
2,SUP-009,1005,Свечи зажигания,72,1055.27,75979.24,2025-02-14
3,SUP-002,1019,Лампы H4,236,2150.06,507413.62,2025-04-22
4,SUP-009,1008,Ремень ГРМ,278,1451.51,403520.91,2025-04-12
5,SUP-010,1018,Щётки стеклоочистителя,234,2330.66,545374.66,2025-05-23
6,SUP-006,1001,Тормозные колодки передние,101,457.08,46165.22,2025-05-23
7,SUP-006,1005,Свечи зажигания,130,1202.54,156329.79,2025-02-22
8,SUP-006,1003,Масляный фильтр,214,536.27,114761.49,2025-11-06
9,SUP-009,1009,Помпа водяная,42,1702.03,71485.21,2025-03-05
10,SUP-010,1013,Аккумулятор 60Ah,60,2121.05,127262.74,2025-07-05
11,SUP-001,1019,Лампы H4,118,3209.7,378744.68,2025-12-05
12,SUP-004,1008,Ремень ГРМ,168,1738.92,292137.91,2025-02-21
13,SUP-006,1013,Аккумулятор 60Ah,162,2010.09,325634.03,2025-03-25
14,SUP-005,1012,Стартер,201,1619.98,325616.46,2025-12-26
15,SUP-004,1003,Масляный фильтр,107,700.3,74932.36,2025-03-25
16,SUP-009,1015,Моторное масло 5W-40,214,2044.18,437455.26,2025-04-23
17,SUP-001,1011,Генератор,48,1523.32,73119.45,2025-06-11
18,SUP-010,1013,Аккумулятор 60Ah,157,1574.46,247190.56,2025-06-11
19,SUP-008,1007,Амортизатор задний,275,1167.05,320939.17,2025-03-15
20,SUP-009,1009,Помпа водяная,91,1303.47,118615.56,2025-10-03
21,SUP-007,1009,Помпа водяная,239,1840.7,439928.23,2025-07-05
22,SUP-002,1008,Ремень ГРМ,90,1382.14,124393.02,2025-01-25
23,SUP-007,1004,Воздушный фильтр,98,882.35,86470.37,2025-11-02
24,SUP-008,1003,Масляный фильтр,217,643.11,139554.27,2025-09-28
25,SUP-002,1009,Помпа водяная,25,1661.23,41530.85,2025-12-16
26,SUP-006,1018,Щётки стеклоочистителя,156,3152.9,491852.1,2025-02-27
27,SUP-001,1010,Радиатор охлаждения,242,1342.34,324846.76,2025-05-15
28,SUP-002,1017,Тормозная жидкость DOT-4,111,2623.45,291202.55,2025-11-17
29,SUP-003,1010,Радиатор охлаждения,279,1748.07,487712.42,2025-07-11
30,SUP-009,1006,Амортизатор передний,296,1372.1,406141.56,2025-01-01
31,SUP-002,1020,Лампы H7,185,3006.2,556146.89,2025-07-05
32,SUP-010,1010,Радиатор охлаждения,142,1252.13,177802.84,2025-02-10
33,SUP-009,1003,Масляный фильтр,268,806.01,216010.34,2025-03-06
34,SUP-003,1005,Свечи зажигания,263,1197.1,314836.13,2025-05-16
35,SUP-009,1017,Тормозная жидкость DOT-4,236,3274.22,772715.25,2025-12-20
36,SUP-006,1007,Амортизатор задний,179,1169.32,209308.24,2025-08-13
37,SUP-004,1017,Тормозная жидкость DOT-4,251,2072.43,520180.18,2025-02-02
38,SUP-004,1011,Генератор,30,1873.6,56208.03,2025-10-29
39,SUP-001,1008,Ремень ГРМ,23,1053.24,24224.63,2025-04-28
40,SUP-002,1003,Масляный фильтр,36,822.36,29605.08,2025-09-21
41,SUP-004,1008,Ремень ГРМ,162,1501.73,243280.8,2025-10-04
42,SUP-008,1005,Свечи зажигания,262,827.57,216824.27,2025-07-28
43,SUP-007,1007,Амортизатор задний,68,965.43,65649.12,2025-07-01
44,SUP-001,1014,Аккумулятор 75Ah,230,2160.43,496898.81,2025-12-11
45,SUP-006,1004,Воздушный фильтр,51,781.18,39840.16,2025-02-25
46,SUP-008,1008,Ремень ГРМ,118,1142.66,134833.49,2025-03-13
47,SUP-004,1014,Аккумулятор 75Ah,113,1934.25,218570.72,2025-02-08
48,SUP-009,1015,Моторное масло 5W-40,70,1764.5,123515.01,2025-01-08
49,SUP-008,1003,Масляный фильтр,141,562.37,79293.7,2025-09-04
50,SUP-003,1007,Амортизатор задний,225,1509.15,339558.51,2025-07-14
51,SUP-008,1001,Тормозные колодки передние,219,359.67,78767.88,2025-05-27
52,SUP-005,1014,Аккумулятор 75Ah,269,1785.76,480368.42,2025-04-22
53,SUP-006,1002,Тормозные колодки задние,297,418.29,124231.32,2025-01-30
54,SUP-009,1002,Тормозные колодки задние,264,550.86,145425.75,2025-03-22
55,SUP-003,1002,Тормозные колодки задние,280,424.03,118729.36,2025-02-05
56,SUP-004,1020,Лампы H7,54,3314.1,178961.44,2025-07-26
57,SUP-001,1004,Воздушный фильтр,146,860.51,125634.98,2025-11-14
58,SUP-010,1003,Масляный фильтр,234,746.51,174684.5,2025-09-25
59,SUP-006,1011,Генератор,153,1499.15,229370.37,2025-05-03
60,SUP-005,1009,Помпа водяная,222,1207.97,268170.36,2025-08-23
61,SUP-010,1011,Генератор,57,1309.08,74617.71,2025-10-16
62,SUP-009,1004,Воздушный фильтр,57,841.94,47990.32,2025-05-16
63,SUP-004,1005,Свечи зажигания,198,1162.45,230165.83,2025-07-09
64,SUP-009,1010,Радиатор охлаждения,100,1594.37,159436.61,2025-12-27
65,SUP-009,1010,Радиатор охлаждения,290,1207.04,350041.83,2025-06-03
66,SUP-002,1004,Воздушный фильтр,88,719.01,63272.85,2025-10-11
67,SUP-004,1005,Свечи зажигания,159,847.92,134819.6,2025-06-25
68,SUP-005,1007,Амортизатор задний,155,1241.15,192378.42,2025-01-27
69,SUP-001,1003,Масляный фильтр,236,811.01,191397.31,2025-01-02
70,SUP-005,1011,Генератор,86,1921.19,165221.96,2025-03-24
71,SUP-002,1015,Моторное масло 5W-40,238,2415.16,574807.19,2025-02-08
72,SUP-006,1005,Свечи зажигания,299,718.91,214955.52,2025-10-26
73,SUP-001,1018,Щётки стеклоочистителя,95,2644.68,251244.61,2025-06-07
74,SUP-004,1012,Стартер,40,2343.87,93754.83,2025-12-16
75,SUP-009,1008,Ремень ГРМ,72,1265.26,91098.65,2025-07-28
76,SUP-004,1020,Лампы H7,99,3727.51,369023.52,2025-03-25
