order_id,customer_id,product_id,product_name,quantity,price_per_unit,total_amount,sale_date
1,CUST-0414,1010,Радиатор охлаждения,18,4394.38,79098.9,2025-01-06
2,CUST-0070,1014,Аккумулятор 75Ah,17,5864.88,99703.01,2025-09-03
3,CUST-0347,1016,Антифриз G12,17,6041.52,102705.91,2025-09-30
4,CUST-0098,1004,Воздушный фильтр,13,1510.43,19635.53,2025-01-04
5,CUST-0126,1014,Аккумулятор 75Ah,18,5499.34,98988.05,2025-12-05
6,CUST-0230,1017,Тормозная жидкость DOT-4,20,4850.6,97011.91,2025-03-28
7,CUST-0188,1017,Тормозная жидкость DOT-4,8,5165.18,41321.47,2025-03-10
8,CUST-0217,1017,Тормозная жидкость DOT-4,12,7012.15,84145.78,2025-09-11
9,CUST-0058,1013,Аккумулятор 60Ah,6,4449.91,26699.44,2025-06-23
10,CUST-0440,1008,Ремень ГРМ,18,3563.47,64142.48,2025-03-02
11,CUST-0136,1010,Радиатор охлаждения,10,3724.69,37246.87,2025-04-20
12,CUST-0473,1001,Тормозные колодки передние,19,897.61,17054.55,2025-06-06
13,CUST-0457,1017,Тормозная жидкость DOT-4,2,6971.61,13943.22,2025-11-13
14,CUST-0316,1016,Антифриз G12,2,5300.42,10600.85,2025-08-24
15,CUST-0003,1011,Генератор,10,3825.08,38250.76,2025-06-29
16,CUST-0052,1006,Амортизатор передний,13,2354.53,30608.92,2025-08-09
17,CUST-0264,1016,Антифриз G12,7,4690.67,32834.71,2025-03-20
18,CUST-0004,1014,Аккумулятор 75Ah,4,5826.22,23304.87,2025-03-21
19,CUST-0192,1009,Помпа водяная,8,3397.21,27177.69,2025-06-03
20,CUST-0275,1012,Стартер,14,5061.34,70858.74,2025-05-18
21,CUST-0225,1004,Воздушный фильтр,15,1992.21,29883.15,2025-03-24
22,CUST-0003,1005,Свечи зажигания,12,2403.7,28844.46,2025-07-03
23,CUST-0021,1007,Амортизатор задний,4,2463.26,9853.05,2025-03-10
24,CUST-0462,1013,Аккумулятор 60Ah,14,5144.86,72028.0,2025-01-17
25,CUST-0492,1006,Амортизатор передний,7,2948.38,20638.63,2025-12-07
26,CUST-0282,1009,Помпа водяная,4,3329.01,13316.02,2025-09-11
27,CUST-0400,1005,Свечи зажигания,11,2407.2,26479.24,2025-07-24
28,CUST-0491,1017,Тормозная жидкость DOT-4,13,5062.12,65807.52,2025-02-25
29,CUST-0257,1001,Тормозные колодки передние,5,808.33,4041.64,2025-01-07
30,CUST-0176,1008,Ремень ГРМ,2,3347.89,6695.78,2025-08-08
31,CUST-0149,1020,Лампы H7,1,6694.4,6694.4,2025-05-25
32,CUST-0127,1016,Антифриз G12,3,6212.02,18636.07,2025-11-13
33,CUST-0144,1005,Свечи зажигания,17,1913.5,32529.55,2025-02-28
34,CUST-0220,1009,Помпа водяная,8,3666.2,29329.63,2025-04-12
35,CUST-0258,1016,Антифриз G12,4,6077.58,24310.3,2025-11-09
36,CUST-0303,1006,Амортизатор передний,7,2992.55,20947.86,2025-11-19
37,CUST-0206,1005,Свечи зажигания,8,1855.4,14843.23,2025-01-20
38,CUST-0219,1009,Помпа водяная,7,4027.51,28192.57,2025-01-10
39,CUST-0027,1020,Лампы H7,7,5750.07,40250.51,2025-07-14
40,CUST-0325,1014,Аккумулятор 75Ah,17,4612.89,78419.16,2025-04-29
41,CUST-0032,1008,Ремень ГРМ,11,3032.59,33358.54,2025-09-19
42,CUST-0138,1014,Аккумулятор 75Ah,2,4608.58,9217.16,2025-07-06
43,CUST-0127,1009,Помпа водяная,12,3728.43,44741.16,2025-06-13
44,CUST-0027,1002,Тормозные колодки задние,6,1020.44,6122.67,2025-12-05
